Subject,Start Date,Start Time,End Date,End Time,Description
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №2",04/10/2025,09:30 AM,04/10/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",04/17/2025,09:30 AM,04/17/2025,11:05 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-5; №2",04/24/2025,09:30 AM,04/24/2025,11:05 AM,"*ВІА Пз DL *ВІА(ПЗПІ-23-)-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",05/01/2025,09:30 AM,05/01/2025,11:05 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №2",05/08/2025,09:30 AM,05/08/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",05/15/2025,09:30 AM,05/15/2025,11:05 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №2",05/22/2025,09:30 AM,05/22/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",05/29/2025,09:30 AM,05/29/2025,11:05 AM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5; №2",06/05/2025,09:30 AM,06/05/2025,11:05 AM,"*ВІА Лб DL *ВІА(ПЗПІ-23-)-5"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №1",02/13/2025,11:15 AM,02/13/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",02/20/2025,11:15 AM,02/20/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №2",02/27/2025,11:15 AM,02/27/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",03/06/2025,11:15 AM,03/06/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",03/13/2025,11:15 AM,03/13/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",03/20/2025,11:15 AM,03/20/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",03/27/2025,11:15 AM,03/27/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",04/10/2025,11:15 AM,04/10/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",04/17/2025,11:15 AM,04/17/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",04/24/2025,11:15 AM,04/24/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",05/01/2025,11:15 AM,05/01/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",05/08/2025,11:15 AM,05/08/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",05/15/2025,11:15 AM,05/15/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",05/22/2025,11:15 AM,05/22/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",05/29/2025,11:15 AM,05/29/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ІМ Пз DL, DL_1 ПЗПІ-23-10; №3",06/05/2025,11:15 AM,06/05/2025,12:50 PM,"ІМ Пз DL, DL_1 ПЗПІ-23-10"
"ФВ Пз DL ПЗПІ-23-10; №2",02/13/2025,01:10 PM,02/13/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-10"
"ФВ Пз DL ПЗПІ-23-10; №4",02/20/2025,01:10 PM,02/20/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-10"
"ФВ Пз DL ПЗПІ-23-10; №3",02/27/2025,01:10 PM,02/27/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-10"
"ФВ Пз DL ПЗПІ-23-10; №4",03/06/2025,01:10 PM,03/06/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-10"
"ФВ Пз DL ПЗПІ-23-10; №4",03/13/2025,01:10 PM,03/13/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-10"
"ФВ Пз DL ПЗПІ-23-10; №4",03/20/2025,01:10 PM,03/20/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-10"
"ФВ Пз DL ПЗПІ-23-10; №4",03/27/2025,01:10 PM,03/27/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-10"
"ФВ Пз DL ПЗПІ-23-10; №4",04/10/2025,01:10 PM,04/10/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-10"
"ФВ Пз DL ПЗПІ-23-10; №4",04/17/2025,01:10 PM,04/17/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-10"
"ФВ Пз DL ПЗПІ-23-10; №4",04/24/2025,01:10 PM,04/24/2025,02:45 PM,"ФВ Пз DL ПЗПІ-23-10"
